id,name,type,area,center_lng,center_lat
0,,apartments,716.3661715187202,38.004196733333345,55.750866594444446
1,,apartments,1342.6335375574874,38.00353498333333,55.750787825
2,,apartments,1658.1468077859472,38.004874572727275,55.74769958181818
3,,apartments,974.4978862505467,38.00129141428572,55.74948822857143
4,,apartments,985.4022346452577,38.00304442857142,55.749492
5,,apartments,1301.6228314455261,38.0021414875,55.748982225000006
6,,apartments,1544.2679000373712,38.006102840000004,55.749401999999996
7,,apartments,1898.7130329791157,38.00727421666667,55.748646908333335
8,,apartments,1090.130261763509,38.0065047375,55.7479470625
9,,apartments,1142.0917081761283,38.003175275,55.7475847125
10,,apartments,1155.2898579387181,37.805148725,55.794555375
11,,apartments,758.4661690609736,37.80408182857143,55.793506471428564
12,,apartments,1951.9498772974423,37.80689553,55.794725740000004
13,,apartments,1024.6564873850814,37.804877024999996,55.79571365
14,,apartments,485.86429474042495,37.80440035,55.794741175
15,,apartments,409.0330769150221,37.803103750000005,55.794359175
16,,apartments,2110.8025806558126,37.803920225,55.792000574999996
17,,apartments,417.6475080204319,37.805429925,55.7891027
18,,apartments,441.80597877034944,37.806234919999994,55.78973578
19,,apartments,699.4211468961373,37.805346400000005,55.789640375
20,,dormitory,1132.9507809198053,37.805299125000005,55.790401700000004
21,,apartments,674.5597689037731,37.805901575,55.795655
22,,apartments,438.61395673192766,37.80351315,55.79480475
23,,apartments,501.5951657455212,37.803858075,55.7951655
24,,apartments,523.5256580652506,37.80292495,55.7952587
25,,apartments,776.6201750981313,37.807615225,55.793892174999996
26,,apartments,1021.4770494945469,37.80851525,55.79358335
27,,apartments,799.6700786573258,37.8097531,55.793692633333336
28,,apartments,1020.9207075173232,37.80988445,55.7942317
29,,apartments,362.8098343274933,37.81013425,55.794833925
30,,apartments,411.60446805397623,37.8109504,55.7943326
31,,apartments,1676.150586822794,37.8121242375,55.7946849875
32,,apartments,1031.3516358281045,37.808829800000005,55.79528055
33,,apartments,941.1135833025921,37.80790459999999,55.79554764285714
34,,apartments,768.5401580114694,37.806864250000004,55.79633916666666
35,,apartments,697.1846765090429,37.810886833333335,55.796424699999996
36,,apartments,1157.8014812215486,37.812133366666664,55.79572376666666
37,,apartments,845.7227681317634,37.810940175,55.79572985
38,,apartments,1113.505319130372,37.8098501,55.79555135
39,,apartments,1172.608824451245,37.80451575,55.792969899999996
40,,apartments,1017.876347347503,37.80310808750001,55.792825750000006
41,,apartments,1745.2933415144,37.8017648875,55.7928167125
42,,apartments,1362.264656289724,37.801622775000006,55.7935720625
43,,apartments,675.9228377117821,37.802046675,55.794599025000004
44,,apartments,769.0900577604251,37.80073705,55.793716599999996
45,,apartments,1161.530542457513,37.8003686,55.794274924999996
46,,apartments,800.667754211129,37.80104605,55.794639399999994
47,,apartments,821.0381251173553,37.800082925,55.795617375000006
48,,apartments,1649.8921666384688,37.80427228999999,55.79620426
49,,apartments,884.3064724739914,37.807002374999996,55.793067525000005
50,,apartments,540.5945174543682,37.80626055,55.7924604125
51,,apartments,994.6798684010963,37.80647785,55.791779250000005
52,,apartments,988.6649192630994,37.8086919,55.7930693
53,,apartments,499.30891119919977,37.807917775,55.792620574999994
54,,apartments,1231.7070033703933,37.80822685,55.791938474999995
55,,apartments,947.531492341809,37.808720275,55.7914203
56,,apartments,637.3649661846819,37.801342749999996,55.79145655
57,,apartments,632.4051370853819,37.80135035,55.792216124999996
58,,apartments,1152.2390559024373,37.800723149999996,55.792998999999995
59,,apartments,389.5166889006571,37.800052,55.7927659
60,,apartments,675.1769457239897,37.8003325,55.79234905
61,,apartments,467.508692939873,37.80053535,55.7918516
62,,apartments,686.555938119096,37.800369024999995,55.791426075
63,,apartments,2194.1224376372093,37.80233069166667,55.79090372499999
64,,apartments,1935.423602034876,37.80269663333333,55.7900625
65,,apartments,850.5015398622508,37.80027353333333,55.790025066666665
66,,apartments,850.4069923325196,37.800267166666664,55.79057695
67,,apartments,850.5270435189071,37.79898828333334,55.79000551666666
68,,apartments,850.4347618093602,37.79896585,55.79056241666667
69,,apartments,682.0139686957347,37.80619355714286,55.79042545714286
70,,apartments,686.4908699156786,37.804215514285715,55.78963161428572
71,,apartments,396.50232835225756,37.80452974,55.78918456
72,,apartments,933.3185049559802,37.80369465,55.7890135375
73,,apartments,677.5944687591734,37.80269151428571,55.78919689999999
74,,apartments,918.3847122561363,37.80172566666667,55.78897346666666
75,,apartments,379.6151538263618,37.8008314,55.78910948
76,,apartments,634.0386411238273,37.801031599999995,55.78957407142856
77,,apartments,696.1288460703851,37.806679762499996,55.790106425
78,,apartments,1248.737115673205,37.80752964166667,55.790715549999994
79,,apartments,435.93775845169057,37.80732331666667,55.78974225000001
80,,apartments,445.96347310346374,37.807437074999996,55.789174800000005
81,,apartments,909.4854201303241,37.80881722,55.79103572
82,,apartments,1212.9055154800596,37.809809916666666,55.790921833333336
83,,apartments,876.2575490179998,37.81006323333333,55.78969673333334
84,,apartments,697.8504438906086,37.808734,55.79013905
85,,apartments,418.9399271620949,37.80908454375,55.789737868749995
86,,apartments,561.3797952929419,37.62677725,55.86446695000001
87,,apartments,564.4332121017512,37.62652047,55.864955129999984
88,,apartments,3268.616123394647,37.6247161625,55.86553653125001
89,,apartments,2311.504954669568,37.6224742,55.86652775
90,,apartments,787.5936902317895,37.62357368333334,55.86726970416666
91,,apartments,1545.9772629054103,37.621738625,55.8676418
92,,apartments,760.9388483654274,37.621018750000005,55.868458649999994
93,,apartments,1697.0911696051817,37.619015125000004,55.868298425
